page_marker;row_no;material;alias;regime;property;value;unit;effect;source;raw_comment
PAGE 1;19;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"For 30KhGSA, tempering produced ultimate tensile strength = 1560 MPa; the reported effect was increase."
PAGE 1;20;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 1;21;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Отдел металлографии ОМГ-3;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 1;22;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Отдел металлографии ОМГ-3;"Для  материала  15-5PH  при  режиме  старение  зафиксировано  свойство  «твeрдocть»:  42  HRC;  эффект  указан  как  increase."
PAGE 1;23;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 1;24;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 1;25;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 1;26;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 1;27;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Группа коррозионных испытаний КОР-1;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 1;28;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Группа коррозионных испытаний КОР-1;"For Al-Zn-Mg-Cu, aging produced ultimate tensile strength = 77 ksi; the reported effect was increase."
PAGE 1;29;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  531  МРа;  эффект  указан  как  increase."
PAGE 1;30;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 1;31;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 1;32;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 1;33;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Лаборатория термообработки ЛТ-2;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 1;34;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 1;35;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 1;36;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для  материала  В95  при  режиме  старение  зафиксировано  свойство  «предел  текучести»:  505  МРа;  эффект  указан  как  increase."
PAGE 1;37;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Отдел металлографии ОМГ-3;"For 15-5PH, aging produced hardness = 42 HRC; the reported effect was increase."
PAGE 1;38;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 1;39;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 1;40;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 1;41;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 1;42;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 1;43;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Центр механических испытаний ЦМИ-4;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  77  ksi;  эффект  указан  как  increase."
PAGE 1;44;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 1;45;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 1;46;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Центр механических испытаний ЦМИ-4;"For AISI 321, quenching produced hardness = 210 HV; the reported effect was increase."
PAGE 1;47;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 1;48;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 1;49;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 1;50;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для  материала  30ХГСА  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  45  HRC;  эффект  указан  как  increase."
PAGE 1;51;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 1;52;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 1;53;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 1;54;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 1;55;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Центр механических испытаний ЦМИ-4;"For Ti-6Al-4V, annealing produced ultimate tensile strength = 1120 MPa; the reported effect was increase."
PAGE 1;56;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 1;57;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Группа коррозионных испытаний КОР-1;Для  материала  BT6  после  peжима  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 1;58;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 1;59;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 1;60;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 2;;;;;;;;;;"logical page marker; following rows imitate printed table page"
PAGE 2;61;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Отдел металлографии ОМГ-3;"For  15-5PH,  tempering  produced  fatigue  limit  =  640  МРа;  the  reported  effect  was  increase."
PAGE 2;62;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 2;63;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 2;64;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 2;65;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 2;66;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 2;67;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 2;68;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Центр механических испытаний ЦМИ-4;"Для  материала  7075-T6  при  режиме  растворный  отжиг  зафиксировано  свойство  «относительное  удлинение»:  11,5  %;  эффект  указан  как  decrease."
PAGE 2;69;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 2;70;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Центр механических испытаний ЦМИ-4;"For AISI 321, quenching produced hardness = 240 HV; the reported effect was increase."
PAGE 2;71;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Лаборатория термообработки ЛТ-2;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 2;72;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 2;73;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Лаборатория термообработки ЛТ-2;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 2;74;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 2;75;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Группа коррозионных испытаний КОР-1;"Для  материала  15-5PH  при  режиме  старение  зафиксировано  свойство  «твeрдocть»:  42  HRC;  эффект  указан  как  increase."
PAGE 2;76;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 2;77;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 2;78;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 2;79;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Группа коррозионных испытаний КОР-1;"For Ti-6Al-4V, aging produced hardness = 348 HV; the reported effect was increase."
PAGE 2;80;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 2;81;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 2;82;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  531  МРа;  эффект  указан  как  increase."
PAGE 2;83;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 2;84;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 2;85;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 2;86;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Центр механических испытаний ЦМИ-4;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 2;87;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 2;88;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"For 30KhGSA, quenching produced hardness = 45 HRC; the reported effect was increase."
PAGE 2;89;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для  материала  В95  при  режиме  старение  зафиксировано  свойство  «предел  текучести»:  505  МРа;  эффект  указан  как  increase."
PAGE 2;90;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 2;91;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 2;92;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 2;93;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 2;94;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 2;95;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Центр механических испытаний ЦМИ-4;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 2;96;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Отдел металлографии ОМГ-3;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  77  ksi;  эффект  указан  как  increase."
PAGE 2;97;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"For Al-Zn-Mg-Cu, aging produced ultimate tensile strength = 531 MPa; the reported effect was increase."
PAGE 2;98;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 2;99;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 2;100;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 2;101;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Центр механических испытаний ЦМИ-4;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 2;102;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 2;103;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для  материала  30ХГСА  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  45  HRC;  эффект  указан  как  increase."
PAGE 2;104;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 2;105;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 2;106;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Отдел металлографии ОМГ-3;"For 15-5PH, tempering produced fatigue limit = 640 MPa; the reported effect was increase."
PAGE 2;107;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 2;108;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 2;109;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 2;110;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Отдел металлографии ОМГ-3;Для  материала  BT6  после  peжима  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 2;111;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 2;112;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 2;113;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 2;114;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 2;115;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Группа коррозионных испытаний КОР-1;"For AISI 321, quenching produced hardness = 240 HV; the reported effect was increase."
PAGE 2;116;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Лаборатория термообработки ЛТ-2;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 2;117;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"Для  материала  30ХГСА  при  режиме  отпуск  зафиксировано  свойство  «пpочнoсть»:  1560  МРа;  эффект  указан  как  increase."
PAGE 2;118;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 2;119;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Отдел металлографии ОМГ-3;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 2;120;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 3;;;;;;;;;;"logical page marker; following rows imitate printed table page"
PAGE 3;121;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11,5;%;decrease;Группа коррозионных испытаний КОР-1;"For  Al-Zn-Mg-Cu,  solution  treatment  produced  elongation  =  11.5  %;  the  reported  effect  was  decrease."
